Id;Produto;DescProduto;Cor;DescCor;Tamanhho;DescTamanho
105735.6532.1;105735;CONJUNTO MASC.;6532;AZUL 19-4049 KYLY;1;P
105735.6532.2;105735;CONJUNTO MASC.;6532;AZUL 19-4049 KYLY;2;M
105735.6532.3;105735;CONJUNTO MASC.;6532;AZUL 19-4049 KYLY;3;G
105735.6532.4;105735;CONJUNTO MASC.;6532;AZUL 19-4049 KYLY;4;GG
105735.6532.5;105735;CONJUNTO MASC.;6532;AZUL 19-4049 KYLY;5;1
105735.6532.6;105735;CONJUNTO MASC.;6532;AZUL 19-4049 KYLY;6;2
105735.6532.7;105735;CONJUNTO MASC.;6532;AZUL 19-4049 KYLY;7;3
105735.6532.8;105735;CONJUNTO MASC.;6532;AZUL 19-4049 KYLY;8;4
105735.6532.9;105735;CONJUNTO MASC.;6532;AZUL 19-4049 KYLY;9;6
105735.6532.10;105735;CONJUNTO MASC.;6532;AZUL 19-4049 KYLY;10;8
105735.6534.1;105735;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;1;P
105735.6534.2;105735;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;2;M
105735.6534.3;105735;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;3;G
105735.6534.4;105735;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;4;GG
105735.6534.5;105735;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;5;1
105735.6534.6;105735;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;6;2
105735.6534.7;105735;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;7;3
105735.6534.8;105735;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;8;4
105735.6534.9;105735;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;9;6
105735.6534.10;105735;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;10;8
105735.7880.1;105735;CONJUNTO MASC.;7880;VERDE 18-5424 KYLY;1;P
105735.7880.2;105735;CONJUNTO MASC.;7880;VERDE 18-5424 KYLY;2;M
105735.7880.3;105735;CONJUNTO MASC.;7880;VERDE 18-5424 KYLY;3;G
105735.7880.4;105735;CONJUNTO MASC.;7880;VERDE 18-5424 KYLY;4;GG
105735.7880.5;105735;CONJUNTO MASC.;7880;VERDE 18-5424 KYLY;5;1
105735.7880.6;105735;CONJUNTO MASC.;7880;VERDE 18-5424 KYLY;6;2
105735.7880.7;105735;CONJUNTO MASC.;7880;VERDE 18-5424 KYLY;7;3
105735.7880.8;105735;CONJUNTO MASC.;7880;VERDE 18-5424 KYLY;8;4
105735.7880.9;105735;CONJUNTO MASC.;7880;VERDE 18-5424 KYLY;9;6
105735.7880.10;105735;CONJUNTO MASC.;7880;VERDE 18-5424 KYLY;10;8
105736.0106.1;105736;CONJUNTO MASC.;106;CINZA 18-5203;1;P
105736.0106.2;105736;CONJUNTO MASC.;106;CINZA 18-5203;2;M
105736.0106.3;105736;CONJUNTO MASC.;106;CINZA 18-5203;3;G
105736.0106.4;105736;CONJUNTO MASC.;106;CINZA 18-5203;4;GG
105736.0106.5;105736;CONJUNTO MASC.;106;CINZA 18-5203;5;1
105736.0106.6;105736;CONJUNTO MASC.;106;CINZA 18-5203;6;2
105736.0106.7;105736;CONJUNTO MASC.;106;CINZA 18-5203;7;3
105736.0106.8;105736;CONJUNTO MASC.;106;CINZA 18-5203;8;4
105736.0106.9;105736;CONJUNTO MASC.;106;CINZA 18-5203;9;6
105736.0106.10;105736;CONJUNTO MASC.;106;CINZA 18-5203;10;8
105736.6534.1;105736;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;1;P
105736.6534.2;105736;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;2;M
105736.6534.3;105736;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;3;G
105736.6534.4;105736;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;4;GG
105736.6534.5;105736;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;5;1
105736.6534.6;105736;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;6;2
105736.6534.7;105736;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;7;3
105736.6534.8;105736;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;8;4
105736.6534.9;105736;CONJUNTO MASC.;6534;AZUL 18-3922 KYLY;9;6
